1,134,9
2,28,2
3,174,8
4,271,6
5,193,10
6,330,8
7,1000,0
8,49,10
9,71,10
10,173,7
11,13,8
12,1000,1
13,280,10
14,48,10
15,243,10
16,125,5
17,201,7
18,201,9
19,231,9
20,125,8
21,141,8
22,32,8
23,316,8
24,44,8
25,142,10
26,1000,1
27,167,10
28,191,8
29,141,8
30,126,9
31,204,9
32,198,10
33,32,8
34,330,10
35,39,7
36,71,7
37,127,8
38,219,10
39,48,10
40,288,9
41,164,10
42,106,5
43,120,10
44,126,9
45,1000,0
46,12,2
47,135,8
48,49,10
49,346,8
50,1000,1
51,377,10
52,112,9
53,161,8
54,1000,1
55,331,4
56,253,8
57,433,8
58,248,7
59,317,9
60,127,10
61,225,10
62,49,10
63,111,8
64,127,10
65,252,9
66,134,7
67,321,10
63,280,8
68,126,10
69,133,9
70,193,9
71,163,9
38,177,10
72,31,10
73,182,10
74,269,9
75,322,9
76,329,10
77,335,8
78,134,7
79,177,10
80,48,10
81,278,10
82,231,10
83,1000,1
84,335,10
85,282,8
86,213,9
87,225,8
88,71,10
89,39,7
90,137,8
91,213,10
92,30,9
93,272,8
94,71,10
95,39,10
96,49,8
97,320,10
65,246,10
98,126,9
99,318,7
100,197,0
101,201,10
102,182,8
103,45,7
104,13,10
105,177,10
106,335,9
107,184,10
108,174,9
109,140,10
110,71,9
111,174,7
112,126,10
113,161,8
114,176,9
115,191,8
116,44,9
117,134,10
118,191,8
119,127,10
120,329,6
121,174,10
122,263,9
123,97,10
124,234,10
125,366,0
126,118,5
127,242,7
128,71,10
129,32,10
130,71,7
131,48,10
132,276,10
133,273,8
134,129,6
135,118,6
136,138,8
137,99,10
138,234,10
139,140,10
140,13,7
141,221,6
16,325,9
60,438,10
142,168,10
143,1001,1
144,71,10
145,215,10
146,1000,0
147,32,10
148,97,8
149,298,7
150,135,10
151,276,7
152,163,8
153,213,8
154,39,10
155,213,10
64,126,10
156,323,10
157,24,8
158,127,8
159,12,10
